id,numberOfRefs,buildTools,projectUrls,projectNames,revisionCommit,numberOfASTs,stars
12842210,78,eclipse,https://github.com/thatsIch/OpenFX,thatsIch/OpenFX,25b926807f8d6f4da4bda08ec7f47325f9ed557c,2966,0
5955265,7,maven,https://github.com/Japio007/FileSyncFx,Japio007/FileSyncFx,1f51fe8cfbdd867e29ac9771458fa2cc184e880a,1197,-1
13400140,2,maven,https://github.com/rokon12/sleepingkit-jfx,rokon12/sleepingkit-jfx,9a56f050e781a6ac94bcaf99c5e1d7b5fe0376e6,126,1
5615386,2,eclipse,https://github.com/AMITCCILGITHUB/Contacts,AMITCCILGITHUB/Contacts,682a48c05fbdf0663d457ae15a7bc112437beacf,638,0
9987171,2,ant,https://github.com/grosscol/ManReqFx,grosscol/ManReqFx,ae411c3a4906cb4899896d8d5d617cad2f106929,1202,0
10275110,4,ant,https://github.com/jcolnago/LibrasProject,jcolnago/LibrasProject,35de19c40b39176ce6be738bb3643c2604dcad27,727,0
8979723,4,idea,https://github.com/patrickfav/smart-video-tagger,patrickfav/smart-video-tagger,86827790dfaf3fb5b030d9908e7e9c5001530cf2,274,0
5066113,1,ant,https://github.com/aheusel/JavaBenchmark,aheusel/JavaBenchmark,a6f6e4f47b139fb784bfc80adfa9856b4227194b,172,1
7352046,8,eclipse,https://github.com/kumbirai/CarSales,kumbirai/CarSales,6299573b56c295d307d4fa569f712d21d5763e60,315,0
5985106,3,ant,https://github.com/jjaneabad/SkyTeach,jjaneabad/SkyTeach,d744f6c195132bb7a9105ea67c324b9422c2f17f,147,-1
9007613,2,maven,https://github.com/etamponi/object-graph,etamponi/object-graph,f16fe5ed02992d82fe3ce8af77819d1114456d58,426,0
6385773,28,maven|ant,https://github.com/blaval/Twitter_like,blaval/Twitter_like,8743065ab6c74231fa836f94700946b5065e229f,3068,1
8534269,2,maven,https://github.com/pawelkaczor/jfxflow,pawelkaczor/jfxflow,6177de07da2b5a090210a213bccfbef9404aec7d,313,0
11815854,2,ant,https://github.com/Octonami/ABM-Item-Utility,Octonami/ABM-Item-Utility,a7505df07260c5a39f213859c2621f4b30ba5e1a,542,-1
10226527,1,,https://github.com/james-d/Conditionally-selectable-table,james-d/Conditionally-selectable-table,c83f38d31f5919befed669bc25ca1eb8f3246af0,359,0
7623958,5,ant,https://github.com/Rauks/Brutes,Rauks/Brutes,a5691864fa071a04c4296e38ba793ca721dab166,888,2
1553791,2,eclipse|ant|maven,https://github.com/eclipse/jubula.core,eclipse/jubula.core,792842fd0e59da56076352de4883170c41e95bbf,150,8
9301062,4,eclipse,https://github.com/tjumyk/twtfmplayer,tjumyk/twtfmplayer,b3aa11f99fbb353ecd9c646a6e77ee088669dbc9,412,8
